user_id,ip
2814275,上海
2814849,上海
2816084,上海
2819181,上海
2821584,上海
2822332,上海
2824155,上海
2824450,上海
2828062,上海
2828348,上海
2831473,上海
2832943,上海
2834372,上海
2838509,上海
2841880,上海
2845112,上海
2849260,上海
2849653,上海
2854129,上海
2857360,上海
2857652,上海
2861568,上海
2862812,上海
2867050,上海
2867761,上海
2869656,上海
2869992,上海
2876166,上海
2877759,上海
2878256,上海
2881197,上海
2883045,上海
2883399,上海
2905380,上海
2906986,上海
2908836,上海
2912248,上海
2914451,上海
2915190,上海
2919284,上海
2919413,上海
2925581,上海
2926816,上海
2926929,上海
2930031,上海
2936647,上海
2938746,上海
2941124,上海
2941799,上海
2943620,上海
2944833,上海
2948452,上海
2957326,上海
2959420,上海
2964844,上海
2969873,上海
2975539,上海
2976335,上海
2978670,上海
2982549,上海
2982760,上海
2991153,上海
2996772,上海
3004456,上海
3006102,上海
3007182,上海
3009069,上海
3013168,上海
3014987,上海
3020712,上海
3020797,上海
3022238,上海
3027875,上海
3030535,上海
3032632,上海
3032894,上海
3033274,上海
3036851,上海
3039555,上海
3047229,上海
3049040,上海
3053159,上海
3056423,上海
3064050,上海
3064233,上海
3068199,上海
3075794,上海
3081398,上海
3083121,上海
3084921,上海
3086816,上海
3092543,上海
3093799,上海
3096198,上海
3108870,上海
3110943,上海
3112491,上海
3113958,上海
3116365,上海
3117594,上海
3118377,上海
3119895,上海
3122796,上海
3123569,上海
3131731,上海
3140976,上海
3141661,上海
3141710,上海
3143682,上海
3146408,上海
3156143,上海
3175705,上海
3177308,上海
3181923,上海
3186973,上海
3189714,上海
3195347,上海
3209040,上海
3213471,上海
3247674,上海
3248272,上海
3253834,上海
3254312,上海
3257461,上海
3257719,上海
3258327,上海
3261426,上海
3272864,上海
3274897,上海
3283445,上海
3285947,上海
3294165,上海
3299252,上海
3301222,上海
3303666,上海
3305366,上海
3305511,上海
3307128,上海
3308170,上海
3312338,上海
3320109,上海
3332852,上海
3334612,上海
3335015,上海
3335216,上海
3344517,上海
3346199,上海
3346591,上海
3350994,上海
3351052,上海
3351808,上海
3351959,上海
3362472,上海
3363697,上海
3373498,上海
3377165,上海
3395247,上海
3395515,上海
3396682,上海
3396866,上海
3410479,上海
3425462,上海
3426705,上海
3430152,上海
3430253,上海
3431999,上海
3433238,上海
3434416,上海
3438994,上海
3440674,上海
3441714,上海
3443715,上海
3443778,上海
3451652,上海
3454812,上海
3460881,上海
3461831,上海
3463381,上海
3464264,上海
3464762,上海
3466605,上海
3470391,上海
3470625,上海
3474957,上海
3477305,上海
3481478,上海
3484177,上海
3485381,上海
3486579,上海
3488023,上海
3488122,上海
3493002,上海
3501092,上海
3502232,上海
3505348,上海
3507296,上海
3509367,上海
3509487,上海
3512143,上海
3513161,上海
3513485,上海
3516870,上海
3518384,上海
3519579,上海
3520732,上海
3521269,上海
3521914,上海
3523140,上海
3524450,上海
3526290,上海
3528503,上海
3530144,上海
3532085,上海
3532107,上海
3532571,上海
3533812,上海
3534718,上海
3538572,上海
3539319,上海
3541601,上海
3546026,上海
3549486,上海
3556862,上海
3558319,上海
3561562,上海
3565031,上海
3565272,上海
3565508,上海
3567486,上海
3572047,上海
3572742,上海
3573467,上海
3573677,上海
3576568,上海
3579391,上海
3580427,上海
3581281,上海
3584650,上海
3586698,上海
3589989,上海
3590500,上海
3591040,上海
3591148,上海
3592985,上海
3596538,上海
3601007,上海
3601414,上海
3607173,上海
3607276,上海
3612952,上海
3613130,上海
3613272,上海
3614732,上海
3619652,上海
3620711,上海
3625227,上海
3634889,上海
3637596,上海
3644538,上海
3644999,上海
3646046,上海
3646242,上海
3647627,上海
3649902,上海
3650885,上海
3653373,上海
3656518,上海
3670018,上海
3672964,上海
3676875,上海
3677903,上海
3679380,上海
3685304,上海
3688134,上海
3689264,上海
3695644,上海
3698977,上海
3704384,上海
3713781,上海
3715411,上海
3717760,上海
3724061,上海
3728010,上海
3730220,上海
3739027,上海
3740632,上海
3750403,上海
3752075,上海
3753918,上海
3755475,上海
3755828,上海
3759413,上海
3761512,上海
3762024,上海
3764655,上海
3765666,上海
