User-ID,Location-IP
231689680,福建
202520117,上海
58093319,四川
2120605,上海
200165652,北京
136745686,北京
1186720,北京
149484284,江苏
98292672,四川
148891174,上海
68589170,北京
195537151,山西
164395709,重庆
48588948,北京
60886329,广东
47176205,上海
136258549,广东
190137533,四川
166009708,上海
174482650,上海
238535191,北京
31733031,江苏
77199689,四川
4297200,广东
70836424,上海
68112666,河北
60095935,山东
48164877,四川
67823983,四川
65777504,北京
132302971,上海
229758898,广东
28826749,北京
2576465,河北
47083532,浙江
162801100,广东
65671289,英国
136792631,北京
47534637,上海
51241738,江苏
142673990,辽宁
68396399,北京
66083811,山东
269883943,河南
72767877,江苏
121755822,浙江
41829568,江苏
1413421,北京
63393478,陕西
230291174,山东
64976438,浙江
38779740,陕西
1183545,湖北
89960590,江苏
167978105,北京
165924169,北京
45500884,浙江
172244217,上海
3101636,广东
213306433,河南
52861697,上海
67148832,江苏
69045970,广西
3513485,上海
195181207,河北
15703686,江西
164176144,四川
3115719,湖北
2494234,广东
199152644,江苏
226315223,北京
126093645,北京
105925237,山西
71255671,广东
153080614,河南
37737722,北京
201171581,广东
152008606,北京
56571057,重庆
1756440,上海
150136875,陕西
197047294,北京
33330554,云南
223012430,四川
55652532,辽宁
200038863,四川
57058976,广东
148190907,北京
1110664,浙江
205362867,山东
1639209,山东
115196992,上海
60545522,四川
156787146,浙江
2860322,北京
135543171,广东
104757717,浙江
141425118,北京
143233268,江苏
260356257,浙江
71892101,北京
3367712,四川
158427100,浙江
47631056,山东
120577026,北京
183507184,山东
16449347,北京
163878409,北京
2206771,河南
245985527,河北
135186255,江苏
2668088,北京
201481344,河南
1136353,湖北
49774069,北京
216667451,江西
190920121,湖北
124573895,上海
238531516,北京
63227444,湖北
253806208,陕西
4352707,广西
194037913,北京
150253592,北京
2458096,广东
125747563,广东
1166692,江苏
2860322,北京
3627289,江苏
191198532,江苏
210080236,内蒙古
57783734,四川
28165185,北京
154821597,广东
172526494,内蒙古
173758519,广东
161147127,浙江
1016866,四川
141710847,山东
190920121,湖北
47631056,山东
1329593,上海
2126832,云南
2216986,北京
143590019,广东
208707422,陕西
2065435,江苏
44473060,贵州
224460618,四川
154042357,安徽
101560136,浙江
196233146,北京
58222498,北京
240301791,北京
40927087,广东
33560621,云南
137204656,上海
137350687,江苏
73131734,江苏
1786966,上海
47088514,湖南
139938343,四川
237715944,安徽
76317126,北京
152072138,河北
1359866,北京
167437759,浙江
247487271,山东
2668088,北京
4625504,北京
146806696,宁夏
59826641,上海
253108158,陕西
216667451,江西
104757717,浙江
36335433,北京
3903699,广东
174825199,河北
252142188,河南
276146247,浙江
62513788,山东
172526494,内蒙古
86505188,河北
30666517,北京
2603819,上海
60404237,浙江
1306221,北京
2628045,北京
2019748,天津
161011093,山东
47631056,山东
3627289,江苏
209435029,北京
190920121,湖北
1741444,山西
144887753,北京
54297349,河北
48319207,上海
60106921,北京
2860322,北京
216387767,四川
37830824,广东
42127963,广东
2984045,福建
49949413,北京
137050697,上海
191853093,浙江
57475766,美国
127478389,河南
1768329,英国
2432492,江苏
49934050,广东
1425058,吉林
2347992,美国
3280495,北京
164604461,重庆
2884120,北京
43029250,江西
51360602,辽宁
48812023,江西
14302023,北京
65792723,重庆
46351623,江苏
66844934,北京
55403526,四川
1617494,上海
230657120,山东
46933063,北京
54475520,浙江
122984435,上海
119833445,浙江
1902031,广东
62606700,北京
4150687,北京
189038003,山东
1659939,贵州
224090861,上海
216821601,北京
3677597,北京
50398302,美国
190090574,山东
2693233,江苏
19157306,四川
3561841,北京
61754139,四川
50213879,云南
149939758,山东
155962055,上海
170909793,江苏
152063458,新疆
221304529,上海
51469521,山东
125992240,中国香港
177734925,美国
27561469,湖北
1744082,山东
173952981,广东
142121293,江西
252041994,浙江
53599542,天津
162583955,江苏
65121695,新疆
48425215,广东
1083626,广东
106327005,日本
189038003,山东
184318973,四川
83503437,北京
134044012,北京
133471157,浙江
154311124,河南
213670112,广东
50612909,湖北
159655075,中国香港
3267811,北京
4217802,福建
1029752,福建
64544029,江苏
4584253,湖南
44185112,广东
54522180,北京
1284902,广东
181048694,浙江
43353706,湖北
138724776,四川
161353974,上海
190534968,河北
151979574,河南
172526494,内蒙古
139736965,四川
156470714,北京
186221561,北京
64328029,重庆
51588181,北京
2860322,北京
57372634,上海
177853316,海南
104757717,浙江
130317039,河北
2083052,贵州
135186255,江苏
72888029,北京
162043028,湖北
172590933,天津
247487271,山东
187041151,江苏
55577108,广西
2516247,北京
159774172,上海
152142084,广西
253108158,陕西
166168890,上海
268802318,广西
69683860,山东
4164078,上海
86954634,湖南
265885881,山东
120187432,上海
26524730,浙江
1077129,上海
2336511,中国台湾
39081665,上海
1342903,广东
50864883,澳大利亚
44310198,海南
12744553,四川
3425802,北京
48371287,北京
4638543,四川
3189471,广东
2755066,上海
37987303,四川
62819038,江苏
80653338,北京
3539708,广东
10721010,北京
120268630,美国
56191040,重庆
42805862,中国香港
78183847,四川
1400433,上海
1126281,广东
214516155,北京
106317011,广东
36486763,北京
172909639,江苏
3027195,浙江
4495690,广东
48917226,重庆
1176560,北京
144132224,广东
1793618,英国
144347076,广东
4273374,上海
65178421,上海
1385969,北京
3983505,辽宁
4390456,中国香港
103053234,上海
59293395,北京
79949272,天津
174491806,日本
49280862,辽宁
148179346,北京
103270163,广东
174578265,浙江
189004931,广东
83489339,上海
188465102,广东
63406248,广东
82773688,广东
121391596,河北
1634596,北京
123436161,陕西
66742915,日本
40970319,上海
2919413,上海
103077795,湖南
57062689,北京
136238454,北京
51752557,重庆
200551800,山东
216148566,福建
99983534,海南
184235807,北京
157605758,云南
15542933,上海
208477307,四川
39227205,广东
255283730,广东
170834900,浙江
115754805,北京
3662577,福建
197068459,湖南
45598642,新疆
138655929,上海
189479334,辽宁
2262523,江西
28582404,上海
184252810,重庆
78633581,山东
3116191,北京
179128205,广东
3647951,河南
63147887,上海
138944351,江苏
198811479,辽宁
44473060,贵州
195837183,浙江
247200255,北京
36335433,北京
163869355,广东
143805058,山东
7282669,浙江
124573895,上海
253844692,广东
3566957,辽宁
167752227,浙江
172526494,内蒙古
41117868,上海
119600286,浙江
33560621,云南
136664541,河南
52315535,广东
194607621,天津
72888029,北京
40261878,北京
2229280,马来西亚
86505188,河北
81586924,北京
