isbn,title,author,year,publisher,genre
9787544774727,基督山伯爵,[法]大仲马,2018,译林出版社,3
9787208130500,斯通纳,[美]约翰·威廉斯,2016,上海人民出版社,3
9787533936020,月亮与六便士,[英]威廉·萨默塞特·毛姆,2017,浙江文艺出版社,3
9787806570920,飘,[美国]玛格丽特·米切尔,2000,译林出版社,3
9787532177578,抓落叶,[美]汤米·巴特勒,2020,上海文艺出版社,3
9787542682147,无望的逃离,[俄]尤里·波利亚科夫,2024,上海三联书店,3
9787559673077,大圆,[美]玛吉·希普斯特德,2024,北京联合出版公司,3
9787546237381,草民,蔡崇达,2024,广州出版社,3
9787533946647,檀香刑,莫言,2017,浙江文艺出版社,3
9787020042494,小王子,[法]圣埃克苏佩里,2003,人民文学出版社,3
9787020186068,请记得乐园,那多,2024,人民文学出版社,3
9787540491413,愤怒的葡萄,[美]约翰·斯坦贝克,2019,湖南文艺出版社,3
9787544785631,未来学大会,[波]斯坦尼斯瓦夫·莱姆,2021,译林出版社,3
9787544722797,不存在的骑士,[意]伊塔洛·卡尔维诺,2012,译林出版社,3
9787559657275,我本芬芳,杨本芬,2022,北京联合出版公司,3
9787530221099,文城,余华,2021,北京十月文艺出版社,3
9787541160868,素食者,[韩]韩江,2021,四川文艺出版社,3
9787532791569,魔术师,[爱尔兰]科尔姆·托宾,2023,上海译文出版社,3
9787559859754,红唇,[阿根廷]曼努埃尔·普伊格,2024,广西师范大学出版社,3
9787532183562,大医·破晓篇,马伯庸,2022,上海文艺出版社,3
9787573506078,假面游戏,[日]东野圭吾,2024,南海出版公司,3
9787530216224,逃离,[加]艾丽丝·门罗,2016,北京十月文艺出版社,3
9787559480187,一生悬命,陆春吾,2023,江苏凤凰文艺出版社,3
9787540478339,长安十二时辰下,马伯庸,2017,湖南文艺出版社,3
9787541167201,道德故事集,[南非]J.M.库切,2024,四川文艺出版社,3
9787513351454,孔雀菩提,焦典,2023,新星出版社,3
9787532763689,白夜,[俄]陀思妥耶夫斯基,2015,上海译文出版社,3
9787213111822,车上的女儿,[日]宇佐见铃,2024,浙江人民出版社,3
9787557030100,明明不是我！,[日]浅仓秋成,2024,广东旅游出版社,3
9787544722346,分成两半的子爵,[意]伊塔洛·卡尔维诺,2012,译林出版社,3
9787544291170,百年孤独,[哥伦比亚]加西亚·马尔克斯,2017,南海出版公司,3
9787539957173,永恒的终结,[美]艾萨克·阿西莫夫,2014,江苏凤凰文艺出版社,3
9787536455382,球状闪电,刘慈欣,2005,四川科学技术出版社,3
9787115233707,改变心理学的40项研究,罗杰•霍克(RogerR.Hock),2010,人民邮电出版社,4
9787514205039,自控力,[美]凯利·麦格尼格尔,2012,磨铁图书,4
9787542680679,敏感与自我,[德]斯文娅·弗拉斯珀勒,2023,上海三联书店,4
9787547742693,梁永安的爱情课,梁永安,2022,北京日报出版社,4
9787111659280,叔本华的治疗,[美]欧文·D.亚隆(IrvinD.Yalom),2021,机械工业出版社,4
9787542674227,心理抚养,李玫瑾,2021,上海三联书店,4
9787553522180,我们时代的神经症人格,[德]卡伦·霍妮,2021,上海文化出版社,4
9787569538427,我比世界晚熟,胡安焉,2024,陕西师范大学出版社,4
9787559865519,施暴者心理,[以]亚尔·阿普特,2024,广西师范大学出版社,4
9787556128006,我们内心的冲突,[美]卡伦·霍妮,2022,尤里卡文库,4
9787552028799,亲密陷阱,[比利时]埃丝特•佩瑞尔（EstherPerel),2019,上海社会科学院出版社,4
9787557696672,福格行为模型,[美]B.J.福格,2021,天津科学技术出版社,4
9787520737616,父权制应激障碍,【美】瓦莱丽·雷因(ValerieRein),2024,东方出版社,4
9787500695356,高效能人士的七个习惯,[美]史蒂芬·柯维,2018,中国青年出版社,4
9787111680925,学会提问(原书第12版),[美]NeilBrowne,2021,机械工业出版社,4
9787534396533,为什么学生不喜欢上学?,[美]丹尼尔·T.威林厄姆,2010,江苏教育出版社,4
9787555913726,献给阿尔吉侬的花束,[美]丹尼尔·凯斯,2022,河南文艺出版社,4
9787563374625,狂热分子,[美]埃里克·霍弗,2011,广西师范大学出版社,4
9787300283296,欲望的演化（最新修订版）,[美]戴维·巴斯,2020,中国人民大学出版社,4
9787559672797,与孤独对抗,李煜玮,2024,北京联合出版公司,4
9787572614620,精神病预后档案,穆戈,2024,湖南文艺出版社,4
9787115464538,这才是心理学(第11版),[加]基思·斯坦诺维奇,2020,人民邮电出版社,4
9787518416509,理智胜过情感（第二版）,[美]丹尼斯·格林伯格,2018,中国轻工业出版社,4
9787300324883,抑郁症打卡自救,李宏夫,2024,中国人民大学出版社,4
9787521754803,相信,蔡磊,2023,中信出版社,4
9787210071976,与神对话,[美]尼尔·唐纳德·沃尔什,2015,江西人民出版社,4
9787508677835,斯坦福大学人生设计课,[美]比尔•博内特,2017,中信出版社,4
9787020145072,逃避自由,[美]艾里希·弗洛姆,2018,人民文学出版社,4
9787513349369,始于极限,[日]上野千鹤子,2022,新星出版社,4
9787201168821,幸福之路,[英]伯特兰·罗素,2021,天津人民出版社,4
9787508661766,当下的力量（白金版）,[德]埃克哈特•托利,2016,中信出版社,4
9787500176770,微小创伤,梅格·阿罗尔（MegArroll）,2024,中译出版社,4
9787518402229,直视骄阳：征服死亡恐惧,欧文·亚隆,2015,中国轻工业出版社,4
9787514513011,共情的力量,[美]亚瑟·乔拉米卡利[美]凯瑟琳·柯茜,2018,中国致公出版社,4
9787115338914,心理学,戴维·迈尔斯(DavidMyers),2013,人民邮电出版社,4
9787532790197,自卑与超越,[奥]阿尔弗雷德·阿德勒,2022,上海译文出版社,4
9787300297293,当代心理治疗,[美]雷蒙德·科尔西尼（RaymondJ.Corsini）,2021,中国人民大学出版社,4
9787568915304,叙事疗法实践地图,[澳]Michael·White,2019,重庆大学出版社,4
9787544759977,人性的弱点,[美]戴尔·卡耐基,2016,译林出版社,4
9787115538260,治愈隐性虐待,[美]香农·托马斯,2020,人民邮电出版社,4
9787305266270,资本主义现实主义,[英]马克·费舍,2024,南京大学出版社,4
9787567559882,让我看见你,PhilipM.Bromberg,2017,华东师范大学出版社,4
9787542631626,心理类型,荣格,2009,上海三联书店,4
9787115371775,心理学与生活（第19版）,[美]理查德·格里格,2014,人民邮电出版社,4
9787501978564,认知神经科学,MichaelS.Gazzaniga,2011,中国轻工业出版社,4
9787513356114,心理学讲义,李松蔚,2024,新星出版社,4
9787549641789,坏的哀伤，好的哀伤,[美]迈克尔·乔比,2024,文汇出版社,4
9787115435446,这不是你的错,【美】贝弗莉·恩格尔（BeverlyEngel）,2016,人民邮电出版社,4
9787552023497,克服低自尊（第二版）,(英)梅勒妮·芬内尔,2019,上海社会科学院出版社,4
9787540461843,TheSecret秘密,朗达•拜恩,2013,湖南文艺出版社,4
9787572614361,寒夜无声,吴忠全,2023,湖南文艺出版社,5
9787540478315,长安十二时辰上,马伯庸,2017,湖南文艺出版社,5
9787544294119,我杀了他,[日]东野圭吾,2019,南海出版公司,5
9787572612329,要来块水果塔吗？,[日]小林泰三,2023,湖南文艺出版社,5
9787547746349,追诉时效倒计时,[日]横山秀夫,2024,北京日报出版社,5
9787559625212,诗人,[美]迈克尔·康奈利,2018,北京联合出版公司,5
9787513344142,时空旅行者的沙漏,[日]方丈贵惠,2021,新星出版社,5
9787572611964,坏小孩（修订新版）,紫金陈,2023,湖南文艺出版社,5
9787505757004,很久很久以前，在某一个地方，果然......,[日]青柳碧人,2023,中国友谊出版公司,5
9787572606823,鱼猎,史迈,2022,湖南文艺出版社,5
9787509002780,ZOO,[日]乙一,2007,当代世界出版社,5
9787550258235,清明上河图密码2,冶文彪,2015,北京联合出版公司,5
9787559673718,狗村,陈曼奇,2024,北京联合出版公司,5
9787559654465,玩偶,法医秦明,2021,北京联合出版公司,5
9787547746479,终身验尸官,[日]横山秀夫,2024,北京日报出版社,5
9787540486075,古董局中局1,马伯庸,2018,湖南文艺出版社,5
9787539956930,军方的怪物,[英]肯·福莱特,2018,江苏文艺出版社,5
9787540496715,两京十五日,马伯庸,2020,湖南文艺出版社,5
9787545582178,出走的春天,以太,2024,天地出版社,5
9787513329903,尼罗河上的惨案,[英]阿加莎·克里斯蒂,2018,新星出版社,5
9787544245517,放学后,[日]东野圭吾,2010,南海出版公司,5
9787540468422,坏小孩,紫金陈,2018,湖南文艺出版社,5
9787541165368,玻璃塔谜案,[日]知念实希人,2023,四川文艺出版社,5
9787559436399,破云,淮上,2019,江苏凤凰文艺出版社,5
9787559642370,遗忘者,法医秦明,2020,北京联合出版公司,5
9787544882286,周四推理俱乐部：消失的子弹,[英]理查德·奥斯曼,2023,接力出版社,5
9787540764678,无声的证词,法医秦明,2013,漓江出版社,5
9787544285643,圣女的救济,[日]东野圭吾,2017,南海出版公司,5
9787513303286,阴兽,[日]江户川乱步,2011,新星出版社,5
9787559427557,天谴者,法医秦明,2018,江苏凤凰文艺出版社,5
9787559675873,凛冬之罪,岳勇,2024,北京联合出版公司,5
9787513335782,喜鹊谋杀案,[英]安东尼·霍洛维茨,2019,新星出版社,5
9787540475758,幸存者,秦明,2016,湖南文艺出版社,5
9787513324168,四魔头,[英]阿加莎·克里斯蒂,2017,新星出版社,5
9787229036614,心理罪,雷米,2011,重庆出版社,5
9787541166099,龙骨焚箱,尾鱼,2023,四川文艺出版社,5
9787549640348,第四扇门,[法]保罗·霍尔特,2023,文汇出版社,5
9787521761498,深渊,深蓝,2024,中信出版集团,5
9787513313421,尼罗河上的惨案,[英]阿加莎·克里斯蒂,2013,新星出版社,5
9787540474836,雪人,[挪威]尤·奈斯博,2016,湖南文艺出版社,5
9787513348379,占星术杀人魔法,[日]岛田庄司,2022,新星出版社,5
9787513312462,ABC谋杀案,(英)阿加莎·克里斯蒂,2013,新星出版社,5
9787530688175,骗局,[英]史蒂夫·卡瓦纳,2024,百花文艺出版社,5
9787536097407,连续“杀人鬼”青蛙男,中山七里,2022,花城出版社,5
9787513336253,遗忘，刑警,陈浩基,2019,新星出版社,5
